stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
40329,342B,"La Thuilière Centre",43.3010513931,5.5306417833,0
40038,119,"La Tourtelle",43.2854653821,5.5542098603,0
40039,119B,"La Tourtelle",43.2856203685,5.5544401308,0
40042,120,"La Treille",43.3113692414,5.5120164137,0
40278,304,"La Treille Camoins",43.3073744466,5.5084211607,0
40279,304B,"La Treille Camoins",43.3073120425,5.5080975345,0
40280,305,"La Treille Campagne",43.3038601737,5.5059119252,0
40281,305B,"La Treille Campagne",43.3042983048,5.5059976933,0
40175,220,"La Treille Pluvence",43.3080999095,5.5097419883,0
40176,220B,"La Treille Pluvence",43.3079829137,5.5094399669,0
40317,332,"La Treille Thermal",43.3055185678,5.5063975746,0
40318,332B,"La Treille Thermal",43.3058357101,5.506316581,0
40838,153B,"Les Bénézits",43.4017697388,5.5871768474,0
40264,295,"La Vallée",43.2842791755,5.5218549359,0
40257,287,"La Vassale",43.3005966682,5.570844069,0
40258,287B,"La Vassale",43.3006336892,5.5708092152,0
40681,155,"Les Boyers",43.3968820707,5.6208189817,0
40395,410,"Les Esparêts",43.3417077148,5.5794471566,0
40396,410B,"Les Esparêts",43.3422911372,5.5788886722,0
40047,126,"L'Aumone",43.2871124567,5.5300261498,0
40048,126B,"L'Aumone",43.2877597373,5.5282155996,0
40421,462,"L'Aumone Vieille",43.2851976096,5.5233338429,0
40422,462B,"L'Aumone Vieille",43.2853304615,5.523402768,0
40049,129,"Le Cannet",43.3326113102,5.5926824088,0
40568,132B,"Le Château",43.3799721198,5.5828701531,0
40439,474,"Le Dirigeable",43.2827574156,5.6070143104,0
40440,474B,"Le Dirigeable",43.2827526008,5.6104238679,0
40055,135,"Le Maltrait",43.3748462436,5.6125529846,0
40056,135B,"Le Maltrait",43.3747807739,5.6126355499,0
40057,136,"Le Mouton",43.2822295679,5.5090504695,0
40058,136B,"Le Mouton",43.2820245365,5.5102084997,0
40059,138,"Le Plan",43.3826176547,5.603058227,0
40060,138B,"Le Plan",43.3825862198,5.60290846,0
40061,140,"Le Puits",43.2714163959,5.6841773745,0
40062,140B,"Le Puits",43.2712733816,5.6827043956,0
40301,317,"Bonnes Nouvelles",43.2909812707,5.593250762,0
40302,317B,"Bonnes Nouvelles",43.2907650098,5.5929676381,0
40063,142,"Le Renard",43.2972614892,5.6100449225,0
40064,142B,"Le Renard",43.2973916679,5.6099045921,0
40517,93,"Le Soleil",43.2838285641,5.5145919386,0
40518,93B,"Le Soleil",43.2837641005,5.5140344433,0
40065,144,"Le Soleillet",43.3724415024,5.6073359355,0
40066,144B,"Le Soleillet",43.3729072524,5.607103601,0
40067,145,"Le Verger des Passons",43.2916365207,5.5849652755,0
40068,145B,"Le Verger des Passons",43.2917270425,5.5849457758,0
40071,148,"Les 4 Bigues",43.3465060691,5.5846601997,0
40072,148B,"Les 4 Bigues",43.34653486,5.5846002136,0
40074,150,"Les 4 Chemins",43.3130111775,5.5737115574,0
40075,151,"Les Artauds",43.3682109298,5.6480615777,0
40076,151B,"Les Artauds",43.3683277502,5.6477724431,0
40442,476,"Les Baraques",43.3215766601,5.5876092343,0
40443,476B,"Les Baraques",43.3239024181,5.5898105676,0
40051,13,"Bouire",43.3767609149,5.6087414715,0
40077,152,"Les Baumes",43.3575392667,5.6341452561,0
40078,152B,"Les Baumes",43.3574932452,5.6341795871,0
40079,153,"Les Bénézits",43.4015819277,5.5871415202,0
40102,16B,"Les Camoins",43.3013130638,5.51269127,0
40080,156,"Les Candolles",43.2778532118,5.5101625197,0
40081,157,"Les Caniers",43.2869141438,5.5945095835,0
40082,157B,"Les Caniers",43.2872511643,5.594368674,0
40409,455,"Les Cardalines",43.3051577741,5.5561022527,0
40410,455B,"Les Cardalines",43.3050579104,5.5561335924,0
40083,158,"Les Charrons",43.2970369241,5.623896527,0
40084,158B,"Les Charrons",43.2974678957,5.6236257003,0
40086,160,"Les Craux",43.2963987159,5.6159304856,0
40087,160B,"Les Craux",43.2965094477,5.6158383104,0
40088,161,"Les Creissauds",43.2786384554,5.5388845915,0
40089,161B,"Les Creissauds",43.2787806407,5.5389417574,0
40090,163,"Les Défensions",43.2964028443,5.5697458367,0
40091,163B,"Les Défensions",43.2964519431,5.5690098502,0
40437,473,"Les Alliés",43.295555175,5.6267667002,0
40438,473B,"Les Alliés",43.2954669459,5.626416886,0
40444,477,"Les Délices",43.296672214,5.5400017038,0
40445,477B,"Les Délices",43.2971744336,5.5397465502,0
40249,280,"Les Escourtines",43.2815838713,5.5047189582,0
40250,280B,"Les Escourtines",43.2814735982,5.5047990346,0
40661,191,"Lou Fenestrel",43.2802623155,5.5651809595,0
40662,191B,"Lou Fenestrel",43.2802106613,5.5651042,0
40092,164,"La Casamance",43.2786895784,5.531723886,0
40420,461,"Les Gisclans",43.3977487655,5.5907723795,0
40095,166,"Les Grands Pins",43.2757678688,5.5274504513,0
40096,166B,"Les Grands Pins",43.2756636404,5.5276292754,0
40097,167,"Les Gypières",43.3663912252,5.6190719917,0
40098,167B,"Les Gypières",43.3664731556,5.6190396998,0
40101,169,"Les Héliantes",43.3603425798,5.6637675221,0
40412,457,"Allée des Pins",43.2752426906,5.5493168348,0
40576,170,"Les Hermittes",43.377711143,5.5901401464,0
40106,171,"Les Jourdans",43.3099675341,5.576828067,0
40107,171B,"Les Jourdans",43.3100153868,5.5767322455,0
40109,174B,"Les Lignieres",43.295002148,5.5612823113,0
40108,174,"Les Lignières",43.2948308585,5.5621960977,0
40388,395,"Les Manaux",43.3437013214,5.5810386305,0
40389,395B,"Les Manaux",43.3437394593,5.5809668517,0
40110,178,"Les Micocouliers",43.2815593073,5.5067731963,0
40111,178B,"Les Micocouliers",43.2816813799,5.5069030277,0
40116,180,"Les Mûriers",43.2982169419,5.601985052,0
40117,180B,"Les Mûriers",43.298365066,5.6018457228,0
